Suriname	hasOfficialLanguage	Dutch_language
Darren_Baxter_(English_footballer)	isAffiliatedTo	Torquay_United_F.C.
Azar_Karadas	playsFor	Kasımpaşa_Spor_Kulübü
Redange	isLocatedIn	Luxembourg
Terry_Gibson	playsFor	Manchester_United_F.C.
Kadrina_Parish	isLocatedIn	Estonia
Óscar_Téllez	playsFor	Pontevedra_CF
Habsburg_Monarchy	participatedIn	Battle_of_Toulon_(1707)
Alec_Linwood	isAffiliatedTo	St._Mirren_F.C.
Kim_Jong-kyung	playsFor	Gwangju_Sangmu_FC
Tinjan	isLocatedIn	Croatia
Kelly_Parker	hasGender	female
Joey_Castillo	hasMusicalRole	wordnet_piano_103928116
Donald_C._Wurster	hasGender	male
Radolfzell	isLocatedIn	Baden-Württemberg
Manny_Lagos	isAffiliatedTo	University_of_Wisconsin–Milwaukee
Laureano_Sanabria_Ruiz	playsFor	Deportivo_de_La_Coruña_B
Paulius_Grybauskas	playsFor	Neftchi_Baku_PFK
Cristina_Fernández_de_Kirchner	isAffiliatedTo	Front_for_Victory
Andrei_Daniel_Marinescu	isAffiliatedTo	CS_Turnu_Severin
Neil_McCann	playsFor	Falkirk_F.C.
Oladipupo_Martins	playsFor	FK_Partizan
Carlos_Domínguez	isAffiliatedTo	RCD_Mallorca
Irinel_Voicu	isAffiliatedTo	FC_Forex_Brașov
David_Neave	playsFor	Arbroath_F.C.
Shahryar_Dastan	playsFor	Missouri_Comets
Sigurd_the_Crusader	hasGender	male
Steve_Whitmire	actedIn	The_Muppets_Take_Manhattan
Aleksandar_Pantić_(footballer_born_1992)	playsFor	Villarreal_CF
Dirk_Lottner	wasBornIn	Cologne
Iñaki_Sáez	wasBornIn	Bilbao
Ivor_Broadis	isAffiliatedTo	Carlisle_United_F.C.
Luka_Žorić	isAffiliatedTo	KK_Union_Olimpija
Abdurrahman_Sharafkandi	wasBornIn	Mahabad
José_Luis_Martínez_Gullotta	playsFor	Racing_Club_de_Avellaneda
Stefan_Ertl	playsFor	SC_Fortuna_Köln
Nicolas_Plestan	playsFor	FC_Schalke_04
Mario_Esteban_Berríos	isAffiliatedTo	Coquimbo_Unido
Laura_Österberg_Kalmari	hasGender	female
Óscar_Ferro	isAffiliatedTo	Uruguay_national_football_team
Adalbert_Stifter	influences	W._H._Auden
Strom_Thurmond	hasWonPrize	Bronze_Star_Medal
Dênis_Oliveira_de_Souza	hasGender	male
Paul_Davies	hasWonPrize	Michael_Faraday_Prize
Mira_Furlan	livesIn	Los_Angeles
Sabu_Dastagir	actedIn	Arabian_Nights_(1942_film)
Trimi_Makolli	isAffiliatedTo	IK_Frej
Yahoo!	isLocatedIn	Sunnyvale,_California
Shin_Byung-ho	playsFor	Yokohama_F._Marinos
Arsinée_Khanjian	wasBornIn	Beirut
Nontapan_Jeansatawong	playsFor	Sisaket_F.C.
Enes_Demirović	playsFor	NK_Brda
Grégory_Christ	playsFor	R._White_Star_Bruxelles
Plzeň-South_District	isLocatedIn	Pilsen
Stjepan_Mesić	hasWonPrize	Order_of_the_White_Double_Cross
Daron_Malakian	wasBornIn	Los_Angeles
Steven_Hunter	isAffiliatedTo	Lega_Basket_Serie_A
Lee_Shearer	isAffiliatedTo	Faversham_Town_F.C.
George_VI_of_the_United_Kingdom	hasWonPrize	Order_of_the_Redeemer
Ibrahim_Touré	isAffiliatedTo	OGC_Nice
Pietro_Ghedin	isAffiliatedTo	A.C.F._Fiorentina
Jack_Meredith_(footballer)	isAffiliatedTo	Blackpool_F.C.
Assane_N'Diaye	isAffiliatedTo	Senegal_national_football_team
Louis_Bookman	isAffiliatedTo	Ireland_national_football_team_(1882–1950)
Jerry_Vandam	playsFor	KV_Mechelen
Diego_Barreto	isAffiliatedTo	Cerro_Porteño
Paolo_Carbonaro	playsFor	Vigor_Lamezia
Marko_Marić	isAffiliatedTo	Skoda_Xanthi_F.C.
Mohammad_Reza_Mahdavi	playsFor	Esteghlal_F.C.
John_Tory	isAffiliatedTo	Progressive_Conservative_Party_of_Ontario
Carlow	isLocatedIn	Republic_of_Ireland
Daniel_da_Silva_(born_1973)	playsFor	Brazil_national_football_team
Alastair_Sim	diedIn	London
Adam_Matysek	wasBornIn	Piekary_Śląskie
Municipality_of_Vipava	isLocatedIn	Goriška
Bujumbura_International_Airport	isLocatedIn	Bujumbura
Stephen_Hughes_(footballer,_born_1976)	playsFor	Everton_F.C.
Rutherford_B._Hayes	isAffiliatedTo	Republican_Party_(United_States)
Andrzej_Pałasz	playsFor	Bursaspor
Adolf_Scherer	playsFor	Nîmes_Olympique
Steve_Lowndes	isAffiliatedTo	Wales_national_football_team
Lee_Zahler	wroteMusicFor	Who's_Guilty?
Kyriacos_Pavlou	isAffiliatedTo	Diagoras_F.C.
John_Logan_(footballer)	playsFor	Charlton_Athletic_F.C.
Sean_Astin	actedIn	The_Last_Producer
Jonathan_Moreira	isAffiliatedTo	Cruzeiro_E.C.
Brian_Horne	isAffiliatedTo	Dover_Athletic_F.C.
Nuno_Filipe_Rodrigues_Silva	isAffiliatedTo	Merelinense_F.C.
Freddie_Bartholomew	hasGender	male
Kevin_Volland	isAffiliatedTo	Germany_national_under-21_football_team
Tiago_Cavalcanti	playsFor	Iraty_Sport_Club
Romain_Reynaud	wasBornIn	Saint-Étienne
Józef_Młynarczyk	playsFor	Odra_Opole
Esben_Hansen	isAffiliatedTo	Nykøbing_FC
Blaenau_Gwent	isLocatedIn	Ebbw_Vale
Ehrwald	isLocatedIn	Reutte_District
Craig_Lindfield	isAffiliatedTo	Chester_City_F.C.
Luis_Anaya	isAffiliatedTo	Alianza_F.C.
Scott_Barron	playsFor	Ipswich_Town_F.C.
Nicolas_Raynier	playsFor	FC_Sète_34
Hugh_Baird	wasBornIn	Bellshill
Lazaros_Iakovou	playsFor	Alki_Larnaca_F.C.
Artur_Voskanyan	playsFor	Armenia_national_football_team
Kō_Shibasaki	hasGender	female
Judy_Garland	isMarriedTo	David_Rose
Thomas_C._Kinkaid	hasWonPrize	Distinguished_Service_Medal
Alan_Sunderland	isAffiliatedTo	England_national_football_B_team
Ayaan_Hirsi_Ali	isMarriedTo	Niall_Ferguson
Akshay_Kumar	actedIn	Khakee
Abdeljalil_Hadda	playsFor	Yokohama_F._Marinos
Leonard_Eugene_Dickson	worksAt	University_of_Chicago
Rubén_Maldonado	playsFor	S.S.C._Napoli
David_Cordón	playsFor	Atlético_Madrid_B
Andy_Miah	wasBornIn	Norwich
Guido_Hoffmann	playsFor	Borussia_Mönchengladbach
Chaozhou	isLocatedIn	China
Battle_of_Nördlingen_(1634)	happenedIn	Sweden
Valmir_Pontes_Arantes	playsFor	FC_Chur_97
Yasin_Çelik	hasGender	male
Yuriy_Dmytrulin	isAffiliatedTo	FC_Yednist'_Plysky
Live_Nation_Entertainment	isLocatedIn	California
Earl_Derr_Biggers	diedIn	Pasadena
Amjad_Khan	actedIn	Muqaddar_Ka_Sikandar
Jay_Ferguson_(American_musician)	wroteMusicFor	Double_Dragon_(film)
Ulster	isLocatedIn	County_Down
Roderick_Chisholm	hasGender	male
Colin_Blant	isAffiliatedTo	Rossendale_United_F.C.
Frank_Lieberam	isAffiliatedTo	TSV_Stahl_Riesa
Ben_Gordon_(footballer_born_1991)	playsFor	Scunthorpe_United_F.C.
Dmitry_Krasilnikov	playsFor	FC_Gubkin
Rainer_Hauck	hasGender	male
Stéphane_Besle	isAffiliatedTo	F.C._Metz
Kim_Dong-jin	playsFor	South_Korea_national_football_team
Quincy_Promes	wasBornIn	Amsterdam
Lucas_Barrios	isAffiliatedTo	Barracas_Central
Maureen_O'Hara	actedIn	Buffalo_Bill_(film)
Battle_of_Bornhöved_(1227)	happenedIn	Holstein
Ramón_Martínez_de_Paz	isAffiliatedTo	C.D._Universidad_de_El_Salvador
Andriy_Vorobey	isAffiliatedTo	FC_Shakhtar-2_Donetsk
Ernesto_Mastrángelo	playsFor	Club_Atlético_River_Plate
Martin_Čížek	isAffiliatedTo	AC_Sparta_Prague
Jules_Tchimbakala	playsFor	Raith_Rovers_F.C.
Susanville,_California	isLocatedIn	Lassen_County,_California
The_House_of_Mirth_(2000_film)	isLocatedIn	Germany
Lothar_Kurbjuweit	playsFor	East_Germany_national_football_team
Adrián_Bastía	playsFor	Atlético_de_Rafaela
Kota_Mizunuma	playsFor	Japan_national_under-20_football_team
Laura_Georges	isAffiliatedTo	Olympique_Lyonnais_(Ladies)
Hugh_Laurie	actedIn	Stuart_Little_(film)
Ralph_Richardson	actedIn	Richard_III_(1955_film)
Hans-Jürgen_Wloka	isAffiliatedTo	SV_Arminia_Hannover
Juan_Povedano_Martínez	isAffiliatedTo	UMF_Selfoss
Ludacris	wasBornIn	Champaign,_Illinois
Łukasz_Załuska	wasBornIn	Wysokie_Mazowieckie
George_Stabb	playsFor	Port_Vale_F.C.
Marcílio_Alves_da_Silva	wasBornIn	Rio_de_Janeiro
Wellington_Silva_(footballer_born_1993)	hasGender	male
Sébastien_Faure_(footballer)	hasGender	male
Vicente_Engonga	isAffiliatedTo	CF_Sporting_Mahonés
Marcel_Sacramento	playsFor	Fortaleza_Esporte_Clube
Demétrius_Montanini	playsFor	Boavista_F.C.
Robert_Hosie	playsFor	Paterson_F.C._(NAFBL)
Gary_Owen_(footballer)	playsFor	Manchester_City_F.C.
Bullhead_City,_Arizona	isLocatedIn	Arizona
Edith_Massey	hasGender	female
Andy_Williams_(Welsh_footballer)	playsFor	Wales_national_football_team
Helle_Thorning-Schmidt	isAffiliatedTo	Social_Democrats_(Denmark)
Lee_Jones_(New_Zealand_footballer)	isAffiliatedTo	Glenfield_Rovers
São_Tomé_Island	isLocatedIn	Gulf_of_Guinea
José_Ramón_Alexanko	isAffiliatedTo	Athletic_Bilbao_B
Jimmy_McGrory	isAffiliatedTo	Clydebank_F.C.
Julia_Robinson	diedIn	Oakland,_California
Nicolas_Penneteau	isAffiliatedTo	France_national_under-20_football_team
Andrea_Orlandi	playsFor	FC_Barcelona
Ray_Kennedy	isAffiliatedTo	Liverpool_F.C.
Moise_Kandé	playsFor	Clermont_Foot
Gianfranco_Zigoni	playsFor	A.S._Roma
Pavel_Řehák	isAffiliatedTo	Yokohama_F.C.
Kenneth_Møller_Pedersen	playsFor	Odense_Boldklub
Giorgio_Mastropasqua	isAffiliatedTo	fr/Équipe_d'Italie_olympique_de_football
Heath_Ledger	hasGender	male
Setsuko_Hara	hasGender	female
Kevin_Hunt_(footballer)	hasGender	male
de/Adam_Kensy	isAffiliatedTo	Poland_national_football_team
Kelvin_Etuhu	isAffiliatedTo	Cardiff_City_F.C.
Sam_Nujoma	hasWonPrize	Indira_Gandhi_Prize
Adam_Smith_(footballer,_born_February_1985)	isAffiliatedTo	Chesterfield_F.C.
Pedro_León	playsFor	Real_Murcia
Poli_Garcia	isAffiliatedTo	San_Diego_Sockers_(1978–96)
Kath_Soucie	actedIn	The_Rugrats_Movie
Henri_Hiltl	playsFor	France_national_football_team
Leslie_Lamport	wasBornIn	New_York_City
Kosta_Perović	isAffiliatedTo	NBA_Development_League
Ellen_Barkin	actedIn	The_Fan_(1996_film)
Jean-Eudes_Maurice	playsFor	RC_Lens
Loris_Reina	isAffiliatedTo	R._Charleroi_S.C.
Mattias_Andersson_(footballer)	isAffiliatedTo	BK_Häcken
Tetsuya_Asano	isAffiliatedTo	Nagoya_Grampus
Joseph_Bologna	directed	Love_Is_All_There_Is
Nerijus_Barasa	isAffiliatedTo	Lithuania_national_football_team
Ismail_Kadare	hasWonPrize	Prix_mondial_Cino_Del_Duca
Penarth	isLocatedIn	Wales
Bryan_Singer	created	The_Triangle_(miniseries)
Ziad_Tlemçani	isAffiliatedTo	Vitória_S.C.
John_Ashton_(actor)	actedIn	Meet_the_Deedles
Gheorghe_Asachi	isCitizenOf	Romania
Domagoj_Vida	playsFor	FC_Dynamo_Kyiv
Volodymyr_Bidlovskyi	isAffiliatedTo	FC_Krymteplytsia_Molodizhne
George_Porter	graduatedFrom	University_of_Leeds
Perry_Kitchen	playsFor	Chicago_Fire_Premier
İskenderun	isLocatedIn	Hatay
Oleksandr_Shovkovskiy	playsFor	Ukraine_national_under-21_football_team
John_W._Vogt,_Jr.	diedIn	Melbourne,_Florida
Taku_Harada	hasGender	male
Vinay_Pathak	actedIn	Johnny_Gaddaar
Yakov_Sinai	hasWonPrize	Nemmers_Prize_in_Mathematics
Geoffrey_Verweij	isAffiliatedTo	IJsselmeervogels
Crossing_of_the_Düna	happenedIn	de/Sachsen-Polen
Oahu	isLocatedIn	United_States
Joachim_Fuchsberger	actedIn	What_Have_You_Done_to_Solange?
Tanya_Plibersek	isLeaderOf	Australian_Labor_Party
Denis_Kirilenko	playsFor	FC_Fakel_Voronezh
Gmina_Wizna	isLocatedIn	Podlaskie_Voivodeship
John_Inglis_(footballer)	playsFor	St._Johnstone_F.C.
Christoph_Burkhard	wasBornIn	Aichach
Buddy_Farah	isAffiliatedTo	Nejmeh_SC
Albert_Flewitt	playsFor	West_Bromwich_Albion_F.C.
Morten_Berre	isAffiliatedTo	FC_St._Pauli
Samuel_Hui	actedIn	Games_Gamblers_Play
Don_Donovan	isAffiliatedTo	Republic_of_Ireland_national_football_team
Joeri_Dequevy	playsFor	K._Sint-Truidense_V.V.
Rabah_Madjer	isAffiliatedTo	Tours_F.C.
Francisco_Javier_Torres	isAffiliatedTo	Monarcas_Morelia
Carl_Dale	isAffiliatedTo	Rhyl_F.C.
Jack_White_(film_producer)	created	Up_in_Daisy's_Penthouse
Kulbhushan_Kharbanda	actedIn	Jo_Jeeta_Wohi_Sikandar
Liam_Dolman	isAffiliatedTo	Aylesbury_United_F.C.
Antonis_Katsis	isAffiliatedTo	AC_Omonia
Lake_Grace,_Western_Australia	isLocatedIn	Western_Australia
Logan_Tom	isAffiliatedTo	Hisamitsu_Springs
Adem_Dursun	playsFor	Boluspor
Apopka,_Florida	isLocatedIn	Seminole_County,_Florida
Gower_Champion	hasGender	male
Jane_Powell	actedIn	The_Girl_Most_Likely
Larbi_Benbarek	isAffiliatedTo	France_national_football_team
Almiro_Lobo	playsFor	C.D._Maxaquene
Richmal_Crompton	hasGender	female
Maciej_Nalepa	isAffiliatedTo	de/Stal_Rzeszów
Rick_Moranis	actedIn	Streets_of_Fire
Stefano_Argilli	playsFor	Frosinone_Calcio
James_Weams	playsFor	Mogi_Mirim_Esporte_Clube
Marco_Amelia	hasGender	male
Kristi_Vangjeli	playsFor	KF_Skënderbeu_Korçë
Paulo_Nagamura	isAffiliatedTo	Arsenal_F.C.
Elizabeth_Hartman	hasGender	female
Josh_Magennis	isAffiliatedTo	Grimsby_Town_F.C.
Everton_Giovanella	isAffiliatedTo	Clube_Esportivo_Lajeadense
Róbert_Petrovický	isAffiliatedTo	HC_Ambrì-Piotta
Matt_Kmosko	isAffiliatedTo	Hartwick_College
Carl_Emberson	playsFor	Luton_Town_F.C.
Daniel_Ellensohn	playsFor	Macarthur_Rams_FC
Zaandam	isLocatedIn	Netherlands
Marco_Mak	edited	Twin_Dragons
Juan_Carlos_Sarnari	isAffiliatedTo	Club_Atlético_River_Plate
Sebino_Plaku	playsFor	Besëlidhja_Lezhë
Kevin_McKinlay	isAffiliatedTo	Stenhousemuir_F.C.
Bill_McPherson	isAffiliatedTo	Fall_River_Marksmen
Indianola,_Iowa	isLocatedIn	Warren_County,_Iowa
Yozhef_Betsa	diedIn	Mukacheve
Lhoka_(Shannan)_Prefecture	isLocatedIn	Tibet_Autonomous_Region
Sylvan_Ebanks-Blake	wasBornIn	Cambridge
Harold_Hardman	isAffiliatedTo	Stoke_City_F.C.
Bruno_Lazaroni	isAffiliatedTo	Associação_Naval_1º_de_Maio
Lee_Bracey	playsFor	Swansea_City_A.F.C.
Steve_Howard	playsFor	Derby_County_F.C.
Hampton,_Virginia	isLocatedIn	United_States
Gábor_Bardi	isAffiliatedTo	Zalaegerszegi_TE
Jorge_Soto_(footballer)	wasBornIn	Lima
Alan_Green_(soccer)	isAffiliatedTo	San_Jose_Earthquakes_(1974–88)
Rawez_Lawan	isAffiliatedTo	Sweden_national_under-21_football_team
Pedro_Sernagiotto	isAffiliatedTo	Associação_Portuguesa_de_Desportos
Hang_Nadim_Airport	isConnectedTo	Sultan_Syarif_Kasim_II_International_Airport
Tony_Naylor	hasGender	male
Robert_Kagan	isCitizenOf	United_States
Martin_Koeman	playsFor	SC_Heerenveen
Ján_Novák_(footballer)	isAffiliatedTo	MFK_Košice
Álvaro_Sarabia	playsFor	Club_Deportivo_Palestino
Aram_Khalili	playsFor	Norway_national_under-21_football_team
Paul_Papp	playsFor	Romania_national_football_team
Saint_Michaels,_Maryland	isLocatedIn	Talbot_County,_Maryland
Willy_Coppens	hasWonPrize	Order_of_Isabella_the_Catholic
Julio_Montero_Castillo	isAffiliatedTo	Uruguay_national_football_team
Mark_Wells_(footballer)	playsFor	Scarborough_F.C.
Lars_Winde	isAffiliatedTo	SC_Bregenz
Juninho_Pernambucano	playsFor	Al-Gharafa_Sports_Club
Trini_Alvarado	hasGender	female
Doris_Day	actedIn	The_Pajama_Game_(film)
Cristiano_Cordeiro	playsFor	Sun_Hei_SC
Maksym_Biletskyi	isAffiliatedTo	FC_Chornomorets_Odesa
Nauris_Bulvītis	playsFor	FC_Daugava
Paul_Smith_(rock_vocalist)	hasMusicalRole	wordnet_guitar_103467517
Gianluca_Vialli	playsFor	Chelsea_F.C.
Kwadwo_Poku	isAffiliatedTo	Ikast_FS
Red_Skelton	influences	Richard_Pryor
Fernando_Collor_de_Mello	isAffiliatedTo	National_Renewal_Alliance_Party
Daniel_Hernández_(soccer)	playsFor	Dallas_Texans_Soccer_Club
Ray_Kennedy	isAffiliatedTo	Hartlepool_United_F.C.
Wetteraukreis	hasCapital	Friedberg,_Hesse
Alexandre_Coeff	isAffiliatedTo	France_national_under-21_football_team
Dariusz_Pietrasiak	playsFor	GKS_Bełchatów
Mark_Ford_(footballer)	playsFor	Leeds_United_A.F.C.
Masoud_Zarei	isAffiliatedTo	Persepolis_F.C.
Miguel_de_Andrés	isAffiliatedTo	Spain_national_under-23_football_team
Don_Welsh	playsFor	Torquay_United_F.C.
Steve_Bull	playsFor	Hereford_United_F.C.
Fernando_Crosa	playsFor	Argentina_national_under-23_football_team
Van_Morrison	wroteMusicFor	Beyond_the_Clouds_(1995_film)
Kim_Little	playsFor	Scotland_women's_national_football_team
Alexandre_Rodriguez_de_Oliveira	playsFor	Sport_Club_do_Recife
Zhivko_Milanov	isAffiliatedTo	FC_Tom_Tomsk
Manuel_Sánchez_Torres	isAffiliatedTo	N.E.C._(football_club)
Timo_Zahnleiter	isAffiliatedTo	SV_Darmstadt_98
Nassim_Banouas	isAffiliatedTo	FC_08_Homburg
Filip_Lukšík	isAffiliatedTo	FK_Fotbal_Třinec
Australia	participatedIn	Battle_of_Morotai
Marcin_Siedlarz	playsFor	Górnik_Zabrze
Alex_Yi	hasGender	male
John_Moody_(footballer)	playsFor	Arsenal_F.C.
Naughty_Dog	isLocatedIn	California
Phil_Harrington	isAffiliatedTo	Chester_City_F.C.
Ținutul_Crișuri	isLocatedIn	Transylvania
Stellan_Skarsgård	actedIn	Helen_of_Troy_(TV_miniseries)
Sam_Rents	isAffiliatedTo	Hayes_&_Yeading_United_F.C.
Aleksei_Zhitnikov	playsFor	FC_Fakel_Voronezh
Kate_Gill	isAffiliatedTo	Perth_Glory_FC_W-League
Liam_Trotter	playsFor	Scunthorpe_United_F.C.
Chris_Hurst_(footballer)	isAffiliatedTo	Halifax_Town_A.F.C.
Mälaren	isLocatedIn	Södertälje
Manitoba	isLocatedIn	Winnipeg
Mike_Galloway_(footballer)	playsFor	Heart_of_Midlothian_F.C.
Essex,_Massachusetts	isLocatedIn	Essex_County,_Massachusetts
Con_Martin	playsFor	Republic_of_Ireland_national_football_team
Charles_G._Dawes	hasWonPrize	Nobel_Peace_Prize
Dan_Salvemini	isAffiliatedTo	San_Jose_Earthquakes_(1974–88)
Lee_County_(Florida)	isLocatedIn	Fort_Myers
Angelo_Barletta	hasGender	male
Stefan_Jansen	hasGender	male
Asaf_Ben-Muha	isAffiliatedTo	Maccabi_Netanya_F.C.
Banū_Mūsā	influences	Thābit_ibn_Qurra
Dale_Rudge	hasGender	male
Fjodor_Xhafa	playsFor	KF_Elbasani
Wesley_Clair_Mitchell	influences	Simon_Kuznets
René_Unglaube	wasBornIn	East_Berlin
Anton_Zemlianukhin	isAffiliatedTo	Giresunspor
Laurens,_South_Carolina	isLocatedIn	United_States
Jasminko_Velić	isAffiliatedTo	Kastoria_F.C.
The_Drummer_(2007_film)	isLocatedIn	Hong_Kong
Frederick_G._Donnan	isCitizenOf	Northern_Ireland
Juan_Carlos_de_la_Barrera	isAffiliatedTo	C.F._Pachuca
Savigliano	isLocatedIn	Province_of_Cuneo
Huangshan_City	isLocatedIn	China
Krzysztof_Janus	playsFor	KS_Polkowice
Tiberiu_Bone	isAffiliatedTo	ASA_Târgu_Mureș_(1962)
Espen_Nystuen	isAffiliatedTo	Lillestrøm_SK
S._Subramaniam_(footballer)	isAffiliatedTo	Malaysia_national_under-23_football_team
Robert_Nauseb	hasGender	male
Jean-Philippe_Dehon	isAffiliatedTo	Tours_FC
Mark_Warren_(footballer)	playsFor	Notts_County_F.C.
Jorge_Trezeguet	isAffiliatedTo	Deportivo_Español
Leo_Lainer	playsFor	FC_Swarovski_Tirol
Josef_Mifsud	isAffiliatedTo	Malta_national_football_team
Ciarán_Martyn	isAffiliatedTo	University_College_Dublin_A.F.C.
Radzislaw_Arlowski	playsFor	FC_Dinamo-93_Minsk
Rune_Bratseth	hasGender	male
Vladimir_Mayakovsky	isCitizenOf	Soviet_Union
Tom_Fletcher	hasMusicalRole	wordnet_guitar_103467517
Jan_Hošek	playsFor	FK_Teplice
Julius_Sterling_Morton	isPoliticianOf	Nebraska_Territory
Richard_Marshall_(general)	hasWonPrize	Distinguished_Service_Medal
Mauro_Rafael_da_Silva	playsFor	Sociedade_Esportiva_e_Recreativa_Caxias_do_Sul
Ryan_Dickson	isAffiliatedTo	Southampton_F.C.
David_Louhoungou	hasGender	male
David_Kramer_(soccer)	playsFor	Colorado_Foxes
Sultan_Abdul_Aziz_Shah_Airport	isLocatedIn	Peninsular_Malaysia
LaBelle,_Florida	isLocatedIn	Collier_County
Honoré_Gabriel_Riqueti,_comte_de_Mirabeau	playsFor	Brighton_&_Hove_Albion_F.C.
Philip_Obhafuoso	playsFor	Heartland_F.C.
Timothy_Bottoms	wasBornIn	Santa_Barbara,_California
Stanley_Baker	hasGender	male
Edmund_Husserl	influences	Wilfrid_Sellars
Enoch_Powell	hasWonPrize	War_Medal_1939–1945
Lewis_John_Carlino	hasWonPrize	Saturn_Award
Maksym_Feshchuk	isAffiliatedTo	S.K._Tavriya_Simferopol
Aleix_Vidal	isAffiliatedTo	UD_Almería
Étienne_Sansonetti	isAffiliatedTo	Valenciennes_F.C.
William_Shatner	actedIn	The_Wild
Yoann_Gourcuff	isAffiliatedTo	Stade_Rennais_F.C.
Meshach_Wade	playsFor	Hereford_United_F.C.
Łukasz_Teodorczyk	playsFor	Lech_Poznań
Cristian_Ianu	playsFor	FC_Wohlen
Montgomery,_Ohio	isLocatedIn	Hamilton_County_(Ohio)
Matteo_Darmian	hasGender	male
Henry_VII_of_England	isMarriedTo	Elizabeth_of_York
Kenneth_Oppel	hasWonPrize	Governor_General's_Awards
Christian_Wagner	edited	Bad_Boys_(1995_film)
Steve_Cropper	hasGender	male
Orest_Lenczyk	isAffiliatedTo	Wisła_Kraków
Carl_Dale	playsFor	Rhyl_F.C.
Emily_Haines	hasMusicalRole	wordnet_vocal_music_107282006
Hakan_Çalhanoğlu	playsFor	Turkey_national_under-19_football_team
Aloísio_Pires_Alves	wasBornIn	Pelotas
D._Imman	created	Chinna_(film)
Michel_Audiard	created	Les_Tontons_flingueurs
Leonard_Boot	isAffiliatedTo	York_City_F.C.
